age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
65,male,7.774173071852209e-4,0.010553254339652027,0.18622784085554403,0.009985812650863637,33126,copd,0,50,65,9,26,5,male_copd,East of England
66,male,7.774173071852209e-4,0.010553254339652027,0.18622784085554403,0.009985812650863637,33126,copd,0,50,65,9,26,5,male_copd,East of England
67,male,7.774173071852209e-4,0.010553254339652027,0.18622784085554403,0.009985812650863637,33126,copd,0,50,65,9,26,5,male_copd,East of England
68,male,7.774173071852209e-4,0.010553254339652027,0.18622784085554403,0.009985812650863637,33126,copd,0,50,65,9,26,5,male_copd,East of England
69,male,7.774173071852209e-4,0.010553254339652027,0.18622784085554403,0.009985812650863637,33126,copd,0,50,65,9,26,5,male_copd,East of England
70,male,0.0015110475231967762,0.013473758436147423,0.2357452807367426,0.011499923678134547,28994,copd,0,50,70,12,44,5,male_copd,East of England
71,male,0.0015110475231967762,0.013473758436147423,0.2357452807367426,0.011499923678134547,28994,copd,0,50,70,12,44,5,male_copd,East of England
72,male,0.0015110475231967762,0.013473758436147423,0.2357452807367426,0.011499923678134547,28994,copd,0,50,70,12,44,5,male_copd,East of England
73,male,0.0015110475231967762,0.013473758436147423,0.2357452807367426,0.011499923678134547,28994,copd,0,50,70,12,44,5,male_copd,East of England
74,male,0.0015110475231967762,0.013473758436147423,0.2357452807367426,0.011499923678134547,28994,copd,0,50,70,12,44,5,male_copd,East of England
75,male,0.002895383372492438,0.01646999172154986,0.2871704823613309,0.01171642241848149,20087,copd,0,50,75,14,58,5,male_copd,East of England
76,male,0.002895383372492438,0.01646999172154986,0.2871704823613309,0.01171642241848149,20087,copd,0,50,75,14,58,5,male_copd,East of England
77,male,0.002895383372492438,0.01646999172154986,0.2871704823613309,0.01171642241848149,20087,copd,0,50,75,14,58,5,male_copd,East of England
78,male,0.002895383372492438,0.01646999172154986,0.2871704823613309,0.01171642241848149,20087,copd,0,50,75,14,58,5,male_copd,East of England
79,male,0.002895383372492438,0.01646999172154986,0.2871704823613309,0.01171642241848149,20087,copd,0,50,75,14,58,5,male_copd,East of England
80,male,0.005004086886704024,0.01890050540669912,0.33261832984960854,0.011787235673914822,14398,copd,0,20,80,7,72,5,male_copd,East of England
81,male,0.005004086886704024,0.01890050540669912,0.33261832984960854,0.011787235673914822,14398,copd,0,20,80,7,72,5,male_copd,East of England
82,male,0.005004086886704024,0.01890050540669912,0.33261832984960854,0.011787235673914822,14398,copd,0,20,80,7,72,5,male_copd,East of England
83,male,0.005004086886704024,0.01890050540669912,0.33261832984960854,0.011787235673914822,14398,copd,0,20,80,7,72,5,male_copd,East of England
84,male,0.005004086886704024,0.01890050540669912,0.33261832984960854,0.011787235673914822,14398,copd,0,20,80,7,72,5,male_copd,East of England
85,male,0.009483683728991454,0.020702550542313763,0.3738988757330426,0.013740733605909333,8075,copd,0,20,85,7,76,5,male_copd,East of England
86,male,0.009483683728991454,0.020702550542313763,0.3738988757330426,0.013740733605909333,8075,copd,0,20,85,7,76,5,male_copd,East of England
