age,sex,inc,mort,ylds..years.lived.with.disability._rate_brsc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
77,male,7.561191635330932e-5,3.201680855802352e-5,6.165885243526768e-5,6.44971943777762e-4,3332,Brsc,0,50,75,0,0,5,male_Brsc
78,male,7.561191635330932e-5,3.201680855802352e-5,6.165885243526768e-5,6.44971943777762e-4,3332,Brsc,0,50,75,0,0,5,male_Brsc
79,male,7.561191635330932e-5,3.201680855802352e-5,6.165885243526768e-5,6.44971943777762e-4,3332,Brsc,0,50,75,0,0,5,male_Brsc
80,male,8.18136533477912e-5,4.847346660158031e-5,6.360365583011323e-5,6.536243967429588e-4,2291,Brsc,0,20,80,0,0,5,male_Brsc
81,male,8.18136533477912e-5,4.847346660158031e-5,6.360365583011323e-5,6.536243967429588e-4,2291,Brsc,0,20,80,0,0,5,male_Brsc
82,male,8.18136533477912e-5,4.847346660158031e-5,6.360365583011323e-5,6.536243967429588e-4,2291,Brsc,0,20,80,0,0,5,male_Brsc
83,male,8.18136533477912e-5,4.847346660158031e-5,6.360365583011323e-5,6.536243967429588e-4,2291,Brsc,0,20,80,0,0,5,male_Brsc
84,male,8.18136533477912e-5,4.847346660158031e-5,6.360365583011323e-5,6.536243967429588e-4,2291,Brsc,0,20,80,0,0,5,male_Brsc
85,male,1.3579170959465684e-4,8.039437897420848e-5,9.085733095321843e-5,9.179448352133637e-4,1276,Brsc,0,20,85,0,0,5,male_Brsc
86,male,1.3579170959465684e-4,8.039437897420848e-5,9.085733095321843e-5,9.179448352133637e-4,1276,Brsc,0,20,85,0,0,5,male_Brsc
87,male,1.3579170959465684e-4,8.039437897420848e-5,9.085733095321843e-5,9.179448352133637e-4,1276,Brsc,0,20,85,0,0,5,male_Brsc
88,male,1.3579170959465684e-4,8.039437897420848e-5,9.085733095321843e-5,9.179448352133637e-4,1276,Brsc,0,20,85,0,0,5,male_Brsc
89,male,1.3579170959465684e-4,8.039437897420848e-5,9.085733095321843e-5,9.179448352133637e-4,1276,Brsc,0,20,85,0,0,5,male_Brsc
90,male,2.1119327880169796e-4,1.249711795679776e-4,1.303583600711377e-4,0.0011650224312077957,506,Brsc,0,10,90,0,0,5,male_Brsc
91,male,2.1119327880169796e-4,1.249711795679776e-4,1.303583600711377e-4,0.0011650224312077957,506,Brsc,0,10,90,0,0,5,male_Brsc
92,male,2.1119327880169796e-4,1.249711795679776e-4,1.303583600711377e-4,0.0011650224312077957,506,Brsc,0,10,90,0,0,5,male_Brsc
93,male,2.1119327880169796e-4,1.249711795679776e-4,1.303583600711377e-4,0.0011650224312077957,506,Brsc,0,10,90,0,0,5,male_Brsc
94,male,2.1119327880169796e-4,1.249711795679776e-4,1.303583600711377e-4,0.0011650224312077957,506,Brsc,0,10,90,0,0,5,male_Brsc
95,male,3.450652042151658e-4,2.042784393162913e-4,1.0729867727042228e-4,9.290181802194193e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
96,male,3.450652042151658e-4,2.042784393162913e-4,1.0729867727042228e-4,9.290181802194193e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
97,male,3.450652042151658e-4,2.042784393162913e-4,1.0729867727042228e-4,9.290181802194193e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
98,male,3.450652042151658e-4,2.042784393162913e-4,1.0729867727042228e-4,9.290181802194193e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
99,male,3.450652042151658e-4,2.042784393162913e-4,1.0729867727042228e-4,9.290181802194193e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
100,male,3.450652042151658e-4,2.042784393162913e-4,1.0729867727042228e-4,9.290181802194193e-4,91,Brsc,0,10,95,0,0,6,male_Brsc
